,Misconception ID,Example Number,Topic,Predicted Diagnosis,Model,Trial,Correct
0,MaE49,1,Equations and inequalities,MaE50,gpt-4-turbo,0,False
1,MaE33,2,Properties of number and operations,MaE52,gpt-4-turbo,0,False
2,MaE08,1,Number Operations,MaE40,gpt-4-turbo,0,False
3,MaE32,3,Properties of number and operations,MaE33,gpt-4-turbo,0,False
4,MaE47,4,"Variables, expressions, and operations",MaE51,gpt-4-turbo,0,False
5,MaE13,3,Number Operations,MaE13,gpt-4-turbo,0,True
6,MaE23,1,Ratios and proportional reasoning,MaE30,gpt-4-turbo,0,False
7,MaE20,3,Number Operations,MaE20,gpt-4-turbo,0,True
8,MaE43,1,Algebraic representations,MaE43,gpt-4-turbo,0,True
9,MaE42,3,"Patterns, relationships, and functions",MaE44,gpt-4-turbo,0,False
10,MaE21,3,Number Operations,MaE21,gpt-4-turbo,0,True
11,MaE04,2,Number sense,MaE14,gpt-4-turbo,0,False
12,MaE50,3,Equations and inequalities,MaE47,gpt-4-turbo,0,False
13,MaE10,3,Number Operations,MaE11,gpt-4-turbo,0,False
14,MaE18,4,Number Operations,MaE18,gpt-4-turbo,0,True
15,MaE34,1,Properties of number and operations,MaE34,gpt-4-turbo,0,True
16,MaE52,3,Equations and inequalities,MaE52,gpt-4-turbo,0,True
17,MaE37,4,"Patterns, relationships, and functions",MaE36,gpt-4-turbo,0,False
18,MaE02,4,Number sense,MaE07,gpt-4-turbo,0,False
19,MaE44,4,Algebraic representations,MaE48,gpt-4-turbo,0,False
20,MaE07,1,Number Operations,MaE06,gpt-4-turbo,0,False
21,MaE01,2,Number sense,MaE01,gpt-4-turbo,0,True
22,MaE17,3,Number Operations,MaE17,gpt-4-turbo,0,True
23,MaE16,3,Number Operations,MaE16,gpt-4-turbo,0,True
24,MaE24,2,Ratios and proportional reasoning,MaE27,gpt-4-turbo,0,False
25,MaE09,3,Number Operations,MaE09,gpt-4-turbo,0,True
26,MaE45,4,"Variables, expressions, and operations",MaE45,gpt-4-turbo,0,True
27,MaE41,1,"Patterns, relationships, and functions",MaE41,gpt-4-turbo,0,True
28,MaE31,2,Properties of number and operations,MaE31,gpt-4-turbo,0,True
29,MaE53,3,Equations and inequalities,MaE49,gpt-4-turbo,0,False
30,MaE46,3,"Variables, expressions, and operations",MaE47,gpt-4-turbo,0,False
31,MaE06,4,Number Operations,MaE10,gpt-4-turbo,0,False
32,MaE40,4,"Patterns, relationships, and functions",MaE40,gpt-4-turbo,0,True
33,MaE14,2,Number Operations,MaE14,gpt-4-turbo,0,True
34,MaE38,4,"Patterns, relationships, and functions",MaE23,gpt-4-turbo,0,False
35,MaE28,1,Ratios and proportional reasoning,MaE35,gpt-4-turbo,0,False
36,MaE19,3,Number Operations,MaE19,gpt-4-turbo,0,True
37,MaE11,2,Number Operations,MaE11,gpt-4-turbo,0,True
38,MaE35,3,"Patterns, relationships, and functions",MaE36,gpt-4-turbo,0,False
39,MaE55,3,Equations and inequalities,MaE54,gpt-4-turbo,0,False
40,MaE54,3,Equations and inequalities,MaE54,gpt-4-turbo,0,True
41,MaE26,2,Ratios and proportional reasoning,MaE26,gpt-4-turbo,0,True
42,MaE12,2,Number Operations,MaE12,gpt-4-turbo,0,True
43,MaE27,1,Ratios and proportional reasoning,MaE23,gpt-4-turbo,0,False
44,MaE51,1,Equations and inequalities,MaE46,gpt-4-turbo,0,False
45,MaE15,4,Number Operations,MaE14,gpt-4-turbo,0,False
46,MaE39,2,"Patterns, relationships, and functions",MaE39,gpt-4-turbo,0,True
47,MaE48,3,"Variables, expressions, and operations",MaE54,gpt-4-turbo,0,False
48,MaE30,2,Ratios and proportional reasoning,MaE30,gpt-4-turbo,0,True
49,MaE03,2,Number sense,MaE03,gpt-4-turbo,0,True
50,MaE29,4,Ratios and proportional reasoning,MaE29,gpt-4-turbo,0,True
51,MaE22,4,Number Operations,MaE22,gpt-4-turbo,0,True
52,MaE25,4,Ratios and proportional reasoning,MaE34,gpt-4-turbo,0,False
53,MaE05,2,Number sense,MaE05,gpt-4-turbo,0,True
54,MaE36,3,"Patterns, relationships, and functions",MaE35,gpt-4-turbo,0,False
0,MaE25,3,Ratios and proportional reasoning,MaE13,gpt-4-turbo,1,False
1,MaE13,3,Number Operations,MaE13,gpt-4-turbo,1,True
2,MaE24,4,Ratios and proportional reasoning,MaE24,gpt-4-turbo,1,True
3,MaE01,4,Number sense,MaE01,gpt-4-turbo,1,True
4,MaE07,2,Number Operations,MaE07,gpt-4-turbo,1,True
5,MaE26,2,Ratios and proportional reasoning,MaE25,gpt-4-turbo,1,False
6,MaE10,2,Number Operations,MaE11,gpt-4-turbo,1,False
7,MaE38,3,"Patterns, relationships, and functions",MaE40,gpt-4-turbo,1,False
8,MaE15,1,Number Operations,MaE15,gpt-4-turbo,1,True
9,MaE55,3,Equations and inequalities,MaE55,gpt-4-turbo,1,True
10,MaE42,3,"Patterns, relationships, and functions",MaE27,gpt-4-turbo,1,False
11,MaE41,2,"Patterns, relationships, and functions",MaE41,gpt-4-turbo,1,True
12,MaE27,1,Ratios and proportional reasoning,MaE24,gpt-4-turbo,1,False
13,MaE04,1,Number sense,MaE46,gpt-4-turbo,1,False
14,MaE06,3,Number Operations,MaE14,gpt-4-turbo,1,False
15,MaE11,4,Number Operations,MaE11,gpt-4-turbo,1,True
16,MaE33,2,Properties of number and operations,MaE33,gpt-4-turbo,1,True
17,MaE34,1,Properties of number and operations,MaE34,gpt-4-turbo,1,True
18,MaE28,1,Ratios and proportional reasoning,MaE24,gpt-4-turbo,1,False
19,MaE12,4,Number Operations,MaE12,gpt-4-turbo,1,True
20,MaE14,4,Number Operations,MaE15,gpt-4-turbo,1,False
21,MaE50,1,Equations and inequalities,MaE49,gpt-4-turbo,1,False
22,MaE23,2,Ratios and proportional reasoning,MaE13,gpt-4-turbo,1,False
23,MaE48,2,"Variables, expressions, and operations",MaE45,gpt-4-turbo,1,False
24,MaE45,1,"Variables, expressions, and operations",MaE54,gpt-4-turbo,1,False
25,MaE09,1,Number Operations,MaE09,gpt-4-turbo,1,True
26,MaE40,4,"Patterns, relationships, and functions",MaE45,gpt-4-turbo,1,False
27,MaE37,3,"Patterns, relationships, and functions",MaE36,gpt-4-turbo,1,False
